category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Interpretation,Simultaneous Interpretation,NULL,THAILAND,Day,ENGLISH,To,THAI,1170,5,5850
Interpretation,Simultaneous Interpretation,NULL,CAMEROON,Day,FRENCH,To,ENGLISH,2275,5,11375
Interpretation,Simultaneous Interpretation,NULL,TANZANIA,Day,ENGLISH,To,FRENCH,2200,2,4400
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,8-Hr Day,UKRAINIAN,To,ENGLISH,913,4,3652
Interpretation,Simultaneous Interpretation,NULL,POLAND,NULL,ENGLISH,To,UKRAINIAN,905,5,4525
Interpretation,Simultaneous Interpretation,NULL,SENEGAL,Each,ENGLISH,To,FRENCH,1220,10,12200
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,ENGLISH,To,PORTUGUESE,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,NULL,MOROCCO,Day,ENGLISH,To,FRENCH,NULL,NULL,NULL
Interpretation,Simultaneous Interpretation,0,ROMANIA,Hour,ROMANIAN,To,ENGLISH,220,2,440
Interpretation,Simultaneous Interpretation,NULL,UKRAINE,Day,ENGLISH,To,UKRAINIAN,905,2,1810
Interpretation,Simultaneous Interpretation,NULL,BRAZIL,Day,ENGLISH,To,PORTUGUESE,1910,4,7640
Interpretation,Simultaneous Interpretation,NULL,CHILE,Day,ENGLISH,To,SPANISH,2125,3,6375
Interpretation,Simultaneous Interpretation,1,ESTONIA,Day,ENGLISH,To,UKRAINIAN,913,2,1826
Interpretation,Simultaneous Interpretation,NULL,CZECH REPUBLIC,Day,ENGLISH,To,CZECH,1450,4,5800
Interpretation,Simultaneous Interpretation,0,DOMINICAN REPUBLIC,Flat Rate,SPANISH,To,ENGLISH,165,1,165
Interpretation,Simultaneous Interpretation,NULL,UKRAINE,Day,ENGLISH,To,UKRAINIAN,905,2,1810
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,UKRAINIAN,1810,4,7240
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,UKRAINIAN,1810,4,7240
Interpretation,Simultaneous Interpretation,NULL,UZBEKISTAN,NULL,ENGLISH,To,UZBEK,735,6,4410
Interpretation,Simultaneous Interpretation,1,POLAND,Day,ENGLISH,To,UKRAINIAN,913,1,913
Interpretation,Simultaneous Interpretation,NULL,MEXICO,Day,SPANISH,To,ENGLISH,2745,5,13725
Interpretation,Simultaneous Interpretation,NULL,EGYPT,Day,ENGLISH,To,FRENCH,2200,5,11000
Interpretation,Simultaneous Interpretation,NULL,ROMANIA,Day,ENGLISH,To,ROMANIAN,1360,1,1360
Interpretation,Simultaneous Interpretation,0,CAMEROON,8-Hr Day,ENGLISH,To,FRENCH,2200,5,11000
Interpretation,Simultaneous Interpretation,NULL,COLOMBIA,Day,ENGLISH,To,PORTUGUESE,799,14,11186
Interpretation,Simultaneous Interpretation,0,KENYA,NULL,ENGLISH,To,FRENCH,2350,4,9400
