code,name,city,country_id,location
YEI,Yenisehir Airport,Hamzabey,TR,POINT (29.56209181082114 40.25584005)
YAM,Sault Ste. Marie Airport,Sault Ste. Marie,CA,POINT (-84.50019623151833 46.484818000000004)
YAO,Yaounde Airport,Yaounde,CM,POINT (11.521790801578737 3.8360955)
YAP,Yap International Airport,Colonia,FM,POINT (138.08313625016342 9.49898575)
YBP,Yibin Caiba Airport,Yibin,CN,POINT (104.54960581879803 28.8015702)
YBC,Baie-Comeau Airport,Baie-Comeau,CA,POINT (-68.26667 49.2)
YCG,Castlegar Airport,Castlegar,CA,POINT (-117.6330645059673 49.2957603)
YCU,Yuncheng Airport,Yuncheng,CN,POINT (110.993 35.018)
YDC,Industrial Airport,Drayton Valley,CA,POINT (-114.96667 53.2)
YEG,Edmonton International Airport,Leduc,CA,POINT (-113.5838087 53.3072596)
YEH,Yinchuan Helanshan Airport,Yinchuan,CN,POINT (106.0094 38.4822)
YFC,Fredericton International Airport,Oromocto,CA,POINT (-66.53510204365679 45.87018365)
YGJ,Miho Airport,Sakaiminato,JP,POINT (133.2428347112177 35.4933476)
YGP,Michel-Pouliot Gaspe Airport,Gaspe,CA,POINT (-64.48333 48.766666)
YIA,Yogyakarta International Airport,Srandakan,ID,POINT (110.05119439547553 -7.89983735)
YIC,Yichun Mingyueshan Airport,Hutian,CN,POINT (114.30823201252983 27.802212400000002)
YIH,Yichang Sanxia Airport,Yunchi,CN,POINT (111.48149557919456 30.5526031)
YIN,Yining Airport,Dadamtu,CN,POINT (81.32869644640027 43.9564347)
YIP,Willow Run Airport,Belleville,US,POINT (-83.52605021746999 42.23492795)
YIW,Yiwu Airport,Yiwu,CN,POINT (120.02868898781665 29.342204799999998)
YHM,Hamilton Airport,Ancaster,CA,POINT (-79.92631 43.16138)
YIE,Arxan Yiershi Airport,Wenquan,CN,POINT (119.910835 47.31)
YKD,Township Airport,Wingham,CA,POINT (-81.60667 44.20139)
YKA,Kamloops Airport,Kamloops,CA,POINT (-120.4415990390244 50.7051481)
YKF,Region of Waterloo International Airport,Cambridge,CA,POINT (-80.38573581162505 43.455854849999994)
YKH,Yingkou Lanqi Airport,Qingshiling,CN,POINT (122.36111194233801 40.54587515)
YKO,Hakkari–Yüksekova Airport,Yuksekova,TR,POINT (44.23310235139638 37.551828900000004)
YKS,Yakutsk Airport,Markha,RU,POINT (129.76969577334057 62.091462500000006)
YLV,Yevlakh Airport,Yevlakh,AZ,POINT (47.1460404 40.6264779)
YLW,Kelowna International Airport,Kelowna,CA,POINT (-119.37954941396475 49.956703700000006)
YMM,Fort McMurray International Airport,Fort McMurray,CA,POINT (-111.22838956157571 56.65179285)
YMJ,Moose Jaw / Air Vice Marshal C. M. Mcewen Airport,Moose Jaw,CA,POINT (-105.53333 50.38333)
YNB,Yanbu Airport,Yanbu` al Bahr,SA,POINT (38.0626738365901 24.148030149999997)
YMT,Chibougamau Airport,Chibougamau,CA,POINT (-74.36667 49.916668)
YNZ,Yancheng Nanyang International Airport,Yulong,CN,POINT (120.20320242554347 33.428409349999995)
YMX,Mirabel International Airport,Mirabel,CA,POINT (-74.0275252 45.6825019)
